decimalLongitude,decimalLatitude,wc2.1_10m_bio_1,wc2.1_10m_bio_2,wc2.1_10m_bio_3,wc2.1_10m_bio_4,wc2.1_10m_bio_5,wc2.1_10m_bio_6,wc2.1_10m_bio_7,wc2.1_10m_bio_8,wc2.1_10m_bio_9,wc2.1_10m_bio_10,wc2.1_10m_bio_11,wc2.1_10m_bio_12,wc2.1_10m_bio_13,wc2.1_10m_bio_14,wc2.1_10m_bio_15,wc2.1_10m_bio_16,wc2.1_10m_bio_17,wc2.1_10m_bio_18,wc2.1_10m_bio_19,presence
75.55170273943804,24.111607351107523,25.98911476135254,14.3203125,44.532833099365234,507.24029541015625,42.00325012207031,9.846500396728516,32.1567497253418,27.050458908081055,26.14154052734375,32.50245666503906,19.48204231262207,825,288,1,151.0452423095703,709,6,71,9,0
75.93028202606365,28.95850496296771,24.864665985107422,14.556833267211914,41.588871002197266,725.70697021484375,40.85725021362305,5.855500221252441,35.00175094604492,30.252958297729492,20.283292770385742,32.635292053222656,14.930166244506836,430,125,4,123.87857055664063,323,23,168,31,0
64.86437209136784,25.657476832158864,25.805822372436523,14.28139591217041,51.30641555786133,498.6063537597656,38.33649826049805,10.50100040435791,27.835498809814453,29.60883331298828,30.16575050354004,31.136333465576172,18.826499938964844,260,90,2,109.19506072998047,153,23,103,51,0
74.11760964314453,36.49199112132192,-5.0485520362854,10.80789566040039,29.577651977539063,925.37158203125,13.26574993133545,-23.274999618530273,36.540748596191406,-6.632500171661377,-9.22933292388916,6.090875148773193,-16.3990421295166,272,37,8,37.2447395324707,102,42,71,55,0
70.90967382118106,30.048044627299532,25.126781463623047,14.627437591552734,39.367103576660156,823.07952880859375,42.1927490234375,5.036250114440918,37.156497955322266,32.392417907714844,20.006624221801758,33.955039978027344,14.14958381652832,177,54,1,107.92377471923828,115,9,72,25,0
68.82463113521226,27.03374796011485,27.478322982788086,17.444355010986328,45.662864685058594,754.56219482421875,44.529998779296875,6.327499866485596,38.20249938964844,34.883541107177734,22.582834243774414,35.494415283203125,17.072999954223633,115,48,1,140.52215576171875,93,4,63,11,0
72.52200134890154,34.37703047832474,18.942989349365234,12.96556282043457,37.3528938293457,784.1348876953125,36.43349838256836,1.722499966621399,34.71099853515625,26.71791648864746,14.658958435058594,28.081707000732422,8.770500183105469,1028,202,22,66.90016174316406,466,95,443,213,0
62.28933215304278,32.71470255102031,19.60124969482422,15.814374923706055,37.714786529541016,985.095703125,41.397499084472656,-0.5339999794960022,41.93149948120117,9.517666816711426,31.77775001525879,31.77775001525879,7.323708534240723,104,28,0,107.08346557617188,73,0,0,64,0
71.16886893683113,31.591866427799687,24.80729103088379,15.829541206359863,39.898529052734375,848.85064697265625,43.486000061035156,3.811500072479248,39.67449951171875,32.469459533691406,19.567916870117188,34.03125,13.589333534240723,217,57,2,91.8413314819336,127,11,122,29,0
71.98610132862814,32.67293913522735,23.388364791870117,14.823979377746582,38.50209426879883,821.25750732421875,41.81924819946289,3.317500114440918,38.501747131347656,30.865459442138672,18.513334274291992,32.393585205078125,12.52458381652832,421,108,4,86.13916015625,236,25,215,58,0
67.78161019622348,33.61156489397399,1.551208257675171,14.176875114440918,32.08435821533203,1066.4232177734375,22.7814998626709,-21.40475082397461,44.186248779296875,-4.97908353805542,13.902083396911621,13.902083396911621,-12.724625587463379,342,71,1,88.43731689453125,194,5,5,148,0
72.22490827809088,32.72473793732934,22.208833694458008,14.510624885559082,39.435604095458984,777.92718505859375,39.64849853515625,2.852750062942505,36.79574966430664,29.21666717529297,17.672792434692383,30.645042419433594,11.865583419799805,454,111,5,83.07979583740234,248,28,232,69,0
75.88942820159718,25.963161305058748,26.09963607788086,13.915395736694336,40.99485397338867,638.34039306640625,42.1875,8.243249893188477,33.944252014160156,29.113582611083984,25.067291259765625,33.249542236328125,17.355167388916016,677,244,2,158.91445922851563,587,10,59,14,0
64.34229001379572,31.88225274439901,18.74622917175293,17.237791061401367,40.20218276977539,981.23834228515625,41.21424865722656,-1.6634999513626099,42.877750396728516,8.789250373840332,30.68866729736328,30.68866729736328,6.4261250495910645,131,32,0,105.69055938720703,90,1,1,77,0
67.85897798324004,36.107291374821216,8.788104057312012,11.832625389099121,32.43547821044922,896.01092529296875,27.87274932861328,-8.607749938964844,36.480499267578125,3.0621249675750732,18.628292083740234,19.931917190551758,-2.3940415382385254,392,86,0,93.2548828125,231,4,7,131,0
75.98024688684382,28.95585020049475,24.864665985107422,14.556833267211914,41.588871002197266,725.70697021484375,40.85725021362305,5.855500221252441,35.00175094604492,30.252958297729492,20.283292770385742,32.635292053222656,14.930166244506836,430,125,4,123.87857055664063,323,23,168,31,0
76.62984928255901,35.47991475183517,-7.432385444641113,10.658145904541016,28.126766204833984,991.36517333984375,11.11674976348877,-26.776500701904297,37.89324951171875,4.21441650390625,-17.27745819091797,4.323333263397217,-19.92104148864746,106,19,2,52.36562728881836,48,13,42,17,0
61.99728514812887,33.10024124127813,16.97057342529297,15.506978988647461,37.91599655151367,951.2691650390625,38.12200164794922,-2.776249885559082,40.898250579833984,6.985499858856201,28.677749633789063,28.677749633789063,5.016624927520752,141,34,0,104.32605743408203,93,0,0,85,0
68.07495038653724,33.50894631072879,3.594343662261963,13.552103996276855,32.79713439941406,990.8465576171875,23.653499603271484,-17.667499542236328,41.32099914550781,-2.5344581604003906,14.03749942779541,15.262457847595215,-9.55062484741211,307,61,1,86.54949188232422,172,4,5,130,0
69.52565668616444,27.660613941028714,27.487363815307617,16.90568733215332,43.94968795776367,776.242919921875,44.583251953125,6.117249965667725,38.46600341796875,33.81137466430664,22.56595802307129,35.6839599609375,16.787166595458984,98,35,0,136.39999389648438,77,2,41,9,0
75.36853358405642,29.60754932765849,24.358938217163086,13.86229133605957,40.248512268066406,739.409423828125,40.36149978637695,5.919750213623047,34.441749572753906,30.159292221069336,19.823583602905273,32.409584045410156,14.38354206085205,398,125,3,122.88141632080078,299,22,157,33,0
