species,decimalLatitude,decimalLongitude,eventDate,country,stateProvince,basisOfRecord
Prosopis cineraria,28.034336,73.234853,2026-06-24T19:17,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,28.02172,73.409317,2026-06-24T07:55,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,28.021964,73.409561,2026-06-24T07:47,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.244057,73.346383,2026-07-01T10:23:30,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.175404,75.831113,2026-08-02T09:50:53,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.020846,55.259073,2025-01-01T15:59:12,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.959286,55.154944,2025-01-11T11:47:47,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.959641,55.154818,2025-01-11T10:35:33,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,26.643255,70.67382,2025-01-15T13:31:22,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.958563,56.314513,2025-01-20T09:35:24,United Arab Emirates,Fujayrah,HUMAN_OBSERVATION
Prosopis cineraria,24.888629,55.432042,2025-01-12T17:24:55,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.242831,55.305504,2025-02-02T16:51:20,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,26.229805,73.03025,2025-02-06T17:06:43,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.22501,55.450632,2025-02-01T14:56:59,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.225138,55.449378,2025-02-01T15:03:09,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.22503,55.450283,2025-02-01T15:00:03,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.224103,55.447313,2025-02-01T15:19:05,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.226613,55.447553,2025-02-01T15:25:09,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,21.308172,70.055595,2025-02-28T17:51:47,India,Gujarat,HUMAN_OBSERVATION
Prosopis cineraria,25.200073,55.293457,2025-02-08T09:46,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.229905,55.449819,2025-03-01T09:18:34,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.225078,55.450285,2025-03-09T14:53:35,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,22.870012,72.173355,2025-03-08T11:24:51,India,Gujarat,HUMAN_OBSERVATION
Prosopis cineraria,27.761838,74.398095,2025-03-18T10:02:51,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,27.97035,73.37542,2025-03-19T08:26:56,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,24.945919,55.426858,2025-03-11T12:49:49,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.93818,55.036922,2025-03-20T15:26:16,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,18.53339,73.81823,2025-03-30,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,18.56571,73.8012,2025-03-25,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,25.314749,55.519164,2025-03-05T10:11:06,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,27.508261,73.474542,2025-03-03T09:32,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,28.081696,75.282841,2025-03-01T16:17,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,28.043416,74.812336,2025-03-02T09:24,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,27.026406,73.53215,2025-03-03T11:14,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,27.973657,74.969014,2025-03-02T08:34,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,28.099243,73.853566,2025-03-02T10:16,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.870317,56.123897,2025-04-02T17:08:58,Iran (Islamic Republic of),Hormozgan,HUMAN_OBSERVATION
Prosopis cineraria,25.386953,56.265087,2025-04-19T08:38:51,United Arab Emirates,Fujayrah,HUMAN_OBSERVATION
Prosopis cineraria,25.2898,55.346492,2025-04-08T20:32:57,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,20.658922,76.926933,2025-04-09T08:13:03,India,Maharashtra,HUMAN_OBSERVATION
Prosopis cineraria,24.833095,55.356472,2025-04-26T18:16:37,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,24.833287,55.356163,2025-04-26T18:34:52,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.377279,51.548723,2025-04-25T22:40:42,Qatar,Ad Dawhah,HUMAN_OBSERVATION
Prosopis cineraria,27.498617,75.178167,2025-05-06T07:45,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.242917,55.46395,2025-05-09T12:15:07,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.271738,55.369763,2025-05-09T10:38:24,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.227569,55.260492,2025-05-07T15:14:18,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,25.168425,55.429014,2025-05-11T17:17:37,United Arab Emirates,Dubay,HUMAN_OBSERVATION
Prosopis cineraria,26.831969,75.786258,2025-05-15T11:13,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.832339,75.786163,2025-05-15T17:59,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.831956,75.786244,2025-05-15T11:13,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.832339,75.786163,2025-05-15T17:59,India,Rajasthan,HUMAN_OBSERVATION
