species,decimalLatitude,decimalLongitude,eventDate,country,stateProvince,basisOfRecord,wc2.1_10m_bio_1,wc2.1_10m_bio_2,wc2.1_10m_bio_3,wc2.1_10m_bio_4,wc2.1_10m_bio_5,wc2.1_10m_bio_6,wc2.1_10m_bio_7,wc2.1_10m_bio_8,wc2.1_10m_bio_9,wc2.1_10m_bio_10,wc2.1_10m_bio_11,wc2.1_10m_bio_12,wc2.1_10m_bio_13,wc2.1_10m_bio_14,wc2.1_10m_bio_15,wc2.1_10m_bio_16,wc2.1_10m_bio_17,wc2.1_10m_bio_18,wc2.1_10m_bio_19,presence
Prosopis cineraria,26.85989,74.039692,2026-01-17T14:21,India,Rajasthan,HUMAN_OBSERVATION,25.898521423339844,14.846416473388672,43.16038513183594,652.60809326171875,41.204498291015625,6.806250095367432,34.39824676513672,29.927623748779297,24.146041870117188,33.008541107177734,16.871875762939453,361,129,1,150.75123596191406,301,9,165,11,1
Prosopis cineraria,26.878703,74.021102,2026-01-17T14:17,India,Rajasthan,HUMAN_OBSERVATION,25.898521423339844,14.846416473388672,43.16038513183594,652.60809326171875,41.204498291015625,6.806250095367432,34.39824676513672,29.927623748779297,24.146041870117188,33.008541107177734,16.871875762939453,361,129,1,150.75123596191406,301,9,165,11,1
Prosopis cineraria,26.90837,73.985637,2026-01-17T14:15,India,Rajasthan,HUMAN_OBSERVATION,25.79961395263672,14.148895263671875,41.74361801147461,659.07183837890625,41.06050109863281,7.165750026702881,33.894752502441406,29.816415786743164,17.791292190551758,32.93787384033203,16.65137481689453,358,131,1,150.7122344970703,297,9,168,12,1
Prosopis cineraria,24.890048,55.432716,2026-01-10T16:34:35,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.504228591918945,13.845749855041504,46.51063537597656,625.643310546875,41.969749450683594,12.200750350952148,29.768999099731445,20.294584274291992,32.33150100708008,34.69612503051758,19.434125900268555,124,37,2,100.55680084228516,77,7,11,61,1
Prosopis cineraria,24.876153,55.577988,2026-01-08T15:59:37,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.351686477661133,13.971208572387695,46.78003692626953,626.04779052734375,41.79874801635742,11.932999610900879,29.86574935913086,20.15341567993164,32.04683303833008,34.54708480834961,19.266332626342773,140,39,2,94.3973159790039,84,10,14,66,1
Prosopis cineraria,25.094083,72.197328,2026-01-22T13:55:39,India,Rajasthan,HUMAN_OBSERVATION,27.20885467529297,14.647541046142578,45.238128662109375,532.3148193359375,42.24150085449219,9.862750053405762,32.37874984741211,29.472166061401367,26.51354217529297,33.30154037475586,19.921167373657227,364,141,1,157.98434448242188,317,5,30,5,1
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION,27.09835433959961,15.895042419433594,45.34412384033203,636.39129638671875,42.532249450683594,7.478000164031982,35.05424880981445,31.35587501525879,19.087541580200195,33.64058303833008,18.065208435058594,183,72,1,161.3525390625,158,4,82,4,1
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION,27.09835433959961,15.895042419433594,45.34412384033203,636.39129638671875,42.532249450683594,7.478000164031982,35.05424880981445,31.35587501525879,19.087541580200195,33.64058303833008,18.065208435058594,183,72,1,161.3525390625,158,4,82,4,1
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION,27.09835433959961,15.895042419433594,45.34412384033203,636.39129638671875,42.532249450683594,7.478000164031982,35.05424880981445,31.35587501525879,19.087541580200195,33.64058303833008,18.065208435058594,183,72,1,161.3525390625,158,4,82,4,1
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION,27.09835433959961,15.895042419433594,45.34412384033203,636.39129638671875,42.532249450683594,7.478000164031982,35.05424880981445,31.35587501525879,19.087541580200195,33.64058303833008,18.065208435058594,183,72,1,161.3525390625,158,4,82,4,1
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION,27.09835433959961,15.895042419433594,45.34412384033203,636.39129638671875,42.532249450683594,7.478000164031982,35.05424880981445,31.35587501525879,19.087541580200195,33.64058303833008,18.065208435058594,183,72,1,161.3525390625,158,4,82,4,1
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION,27.09835433959961,15.895042419433594,45.34412384033203,636.39129638671875,42.532249450683594,7.478000164031982,35.05424880981445,31.35587501525879,19.087541580200195,33.64058303833008,18.065208435058594,183,72,1,161.3525390625,158,4,82,4,1
Prosopis cineraria,26.719688,70.595438,2026-01-12T16:19,India,Rajasthan,HUMAN_OBSERVATION,27.09835433959961,15.895042419433594,45.34412384033203,636.39129638671875,42.532249450683594,7.478000164031982,35.05424880981445,31.35587501525879,19.087541580200195,33.64058303833008,18.065208435058594,183,72,1,161.3525390625,158,4,82,4,1
